X,Y
"Одной из целей изобретения является разработать схему способа гидроконверсии, позволяющую повысить стабильность выходящих потоков при заданном уровне конверсии тяжелых фракций, и, таким образом, получить возможность повысить конверсию по сравнению с классическими способами гидроконверсии.",разработать схему способа гидроконверсии; 
"Технический результат – устойчивость покрытия к толчкам или ударам, длительный межремонтный период, отсутствие склонности к образованию трещин, вклад в теплоизоляцию зданий",устойчивость покрытия к толчкам или ударам;
"Технический результат - уменьшение образования парниковых газов, повышение физико-механических свойств бетона.",уменьшение образования парниковых газов;
"Технический результат - улучшение  физических свойств, обеспечение длительного  хранения и устойчивости и возможности использования в дождливую погоду или зимой.",улучшение  физических свойств;
"Эти условия способа по изобретению позволяют одновременно повысить уровень конверсии и стабильность жидких потоков благодаря схеме конверсии тяжелого сырья, имеющей оптимизированные термические характеристики и время пребывания сырья.",повышение уровня конверсии и стабильности жидких потоков;схема конверсии тяжелого сырья;
Использование изобретения позволяет повысить качество соединения труб.,повышение качеств соединений труб;Использование изобретения;
"Изобретение позволяет сохранить нейтральный баланс по СО2 при получении данного материала и тем самым исключить дополнительные выбросы в атмосферу, а также заменить технический углерод высококачественным и экологичным наполнителем.",сохранение нейтрального баланса по СО2; получение данного материала
"Задачей изобретения является разработка зернистого углеродного материала из возобновляемого сырья, применимого, например, в качестве наполнителя, который, будучи введен, например, в резиновые смеси, после их сшивки демонстрирует резинотехнические свойства, сравнимые как в отношении размеров зерна, так и в отношении поверхности БЭТ/STSA, со свойствами классической сажи.",разработка зернистого углеродного материала из возобновляемого сырья;
"Кроме того, задачей изобретения является разработка способа, эффективного с точки зрения использования энергии и вспомогательных веществ, которым можно получать материал согласно изобретению.",разработка эффективного способа с точки зрения использования энергии и вспомогательных веществ;получение материала согласно изобретению;
"Технический результат - получение бункерных топлив, имеющих низкое содержание серы.",получение бункерных топлив с низким содержанием серы; 
"Технический результат заключается в получении судовых топлив с низким содержанием серы, в состав которых входит по меньшей мере один остаточный углеводородный компонент.",получение судовых топлив с низким содержанием серы;
"[0084] [Способ для измерения размера каждого интерметаллического соединения и общей доли площади интерметаллических соединений] Размер каждого интерметаллического соединения, размер каждого оксида Cr и общая доля площади интерметаллических соединений и оксидов Cr измеряются с помощью наблюдения структуры с использованием способа извлечения реплики.", измерение размера каждого интерметаллического соединения и общей доли площади интерметаллических соединений; наблюдения структуры с использованием способа извлечения реплики;
"[0021] Задачей настоящего изобретения является предложить продукт мартенситной нержавеющей стали, имеющий предел текучести 724 МПа или больше и имеющий превосходную стойкость к сульфидному растрескиванию под напряжением."," продукт мартенситной нержавеющей стали, имеющий предел текучести 724 МПа или больше;"
"Таким образом, изобретение позволяет получать кресла с регулируемой формой опорных поверхностей для пользователя кресла, позволяющих указанному пользователю занимать положение бодрствования, в котором он находится в положении мышечно-скелетного расслабления, сохраняя при этом, без усилия для поддержания головы, возможность наблюдения за приборами и экранами своего рабочего поста, когда управление машиной осуществляет другой оператор.", получение кресла с регулируемой формой опорных поверхностей; кресла позволяют указанному пользователю занимать положение бодрствования;
"При использовании предлагаемого способа удаления серосодержащих соединений из газовой фазы, этот способ может быть осуществлен путем контактирования газовой фазы с каплями многокомпонентного очищающего состава.", удаления серосодержащих соединений из газовой фазы; контактирование газовой фазы с каплями многокомпонентного очищающего состава; 
"Задача изобретения состоит в устранении вышеуказанных недостатков за счет создания конструкции кресла для управления, например, транспортным средством или, в целом, машиной, требующей управления и контроля за управлением, при этом кресло содержит лишь небольшое число подвижных деталей конструкции и в то же время обеспечивает улучшенный комфорт, в частности, во время периода отдыха оператора, например, пилота летательного аппарата, использующего такое кресло.", устранение вышеуказанных недостатков;создание конструкции кресла для управления;
"Технический результат заключается в удалении серосодержащих соединений из потоков сухого газа или потоков не осушенного газа, а также в предотвращении коррозии.”,”удаление серосодержащих соединений из потоков сухого газа;”
Серосодержащими соединениями, которые могут быть удалены с использованием способа, соответствующего настоящему изобретению, являются, в принципе, все соединения, которые удаляются с помощью очистителей.", удаление серосодержащих соединений; очистители;
"В соответствии с некоторыми вариантами реализации изобретения способ дополнительно содержит этапы, согласно которым вырабатывают импульсы датчика угла поворота в ответ на инкрементное движение целевого объекта во время перемещения из первоначального местоположения в текущее местоположение.", варианты реализации изобретения; вырабатывание импульса датчика угла поворота;
Технический результат - возможность отслеживания положения и ориентации объектов в системе опорных координат., возможность отслеживания положения и ориентации объектов в системе опорных координат;
"Кроме того, хорошая сгибаемость, которая достигается с использованием настоящего изобретения, представляет дополнительные преимущества для новых применений.", достижение хорошей сгибаемости; использование настоящего изобретения;
"Цель настоящего изобретения состоит в создании высокотвердого горячекатаного стального продукта, такого как горячекатаная полосовая или толстолистовая сталь, с пониженным риском растрескивания при закалке, который имеет улучшенную свариваемость (в связи с уменьшенным содержанием углерода) или, альтернативно, более высокую твердость, чем обычные износостойкие стали, имеющими такое же или более высокое содержание углерода, и способа его производства.", создание высокотвердого горячекатаного стального продукта; уменьшенное содержание углерода;
Технический результат – определение местоположения камеры относительно источника света., определение местоположения камеры относительно источника света;
Технический результат – повышение эффективности обработки., повышение эффективности обработки;
"Когда температура отжига ниже, чем (Ac3-25°C), введение добавки в условиях изобретения позволяет получить в сочетании с титаном и ниобием нанометрическое выделение карбонитридов молибдена, титана и ниобия (Ti, Nb, Mo)(C, N), что способствует упрочнению и позволяет получить механическую прочность Rm, превышающую или равную 1180 МПа после отжига."," получение в сочетании с титаном и ниобием нанометрическое выделение карбонитридов молибдена, титана и ниобия (Ti, Nb, Mo)(C, N); введение добавки;"
"В этих условиях одной целью изобретения является создание стального листа, имеющего высокую механическую прочность, в частности, между 1180 МПа и 1320 МПа, вместе с высоким пределом текучести, в частности, между 750 МПа и 970 МПа, причём это значение определяется перед какой-либо операцией дрессировки листа, подходящую формуемость, в частности, коэффициент раздачи отверстия Ac% более или равный 20%, угол изгиба более или равный 40° для листа толщиной от 0,7 мм до 2 мм, и удлинение при разрыве более 7%.","создание стального листа, имеющего высокую механическую прочность вместе с высоким пределом текучести;"
"[057] Как указано ранее, при использовании настоящего изобретения, (би)карбонатный слой, после пропускании отработанного или использованного текучего вещества диализата через картридж, растворяется в текучем веществе диализата и исчезает или по существу исчезает из картриджа в качестве слоя.", растворение (би)карбонатного слоя в текучем веществе диализата; использование настоящего изобретения; 
"Изобретение относится к способу изготовления листа из нетекстурированной электротехнической стали и, более конкретно, к способу изготовления листа из нетекстурированной электротехнической стали, имеющего высокую плотность магнитного потока.",изготовления листа из нетекстурированной электротехнической стали; лист из нетекстурированной электротехнической стали;
"При использовании настоящего изобретения и схемы химических процессов и слоев, сорбентный картридж обладает способностью работать при высоких скоростях потока диализата и/или обладает способностью работать при высоком потоке диализатора и, таким образом, имеет более короткое время обработки (например, приблизительно четыре часа +/- 30 минут).", способность работать при высоких скоростях потока диализата и/или способность работать при высоком потоке диализатора; использование изобретения и схемы химических процессов и слоев;
"Например, при использовании настоящего изобретения скорость потока диализата может составлять приблизительно от 300 приблизительно до 500 мл/мин.", скорость потока диализата  от 300 приблизительно до 500 мл/мин; использование настоящего изобретения;
"Для целей настоящего изобретения раствор для диализа обозначает перитонеальный раствор для диализа или текучее вещество диализата, которые можно использовать в гемодиализе или сорбентных диализных системах.",  использование в гемодиализе или сорбентных диализных системах; раствор для диализа; 
"Группа изобретений позволяет снизить высвобождение органических примесей, ионов натрия, циркония, ацетат-ионов из компонентов сорбентного картриджа в диализат и расширить ассортимент картриджей для диализа."," снижение высвобождение органических примесей, ионов натрия, циркония, ацетат-ионов из компонентов сорбентного картриджа в диализат;"
"Авторы настоящего изобретения показали, что реализация этого способа позволяет получить стальной лист с пределом прочности при растяжении в диапазоне 1180-1320 МПа, совместно с пределом текучести в интервале 800-970 МПа (перед любой операцией дрессировки), относительным удлинением при разрыве, по меньшей мере, 5% или даже 8%, у которого коэффициент раздачи Ас% больше или равен 30%, и даже более или равен 40%.",получение стального листа с пределом прочности при растяжении в диапазоне 1180-1320 МПа;реализация этого способа
"В частности, покрытие может быть получено погружением с использованием способа вакуумного напыления, такого как JVD (струйное осаждение из паровой фазы) или катионное электроосаждение.", получение специального покрытия;  погружение с использованием способа вакуумного напыления;
"В этих условиях одна задача изобретения заключается в создании стального листа, имеющего высокий предел прочности при растяжении, в частности, 1180-1320 МПа, вместе с высоким пределом текучести, в частности, 800-970 МПа, эта величина определяется перед любой операцией дрессировки стального листа, а также подходящую пластичность, в частности, коэффициент раздачи Ас% более или равный 30%, угол гибки стального листа толщиной 0,7-1,5 мм составляет более или равен 55°, и удлинение при разрыве составляет более 5%."," создание стального листа, имеющего высокий предел прочности при растяжении;"
"Поскольку целью является расплавить карбиды, эта цель достигается при условии, что обеспечивается продолжительность пребывания в указанной температурной области.", расплавление карбида; обеспечение продолжительности пребывания в указанной температурной области;
"Техническое решение [22] Авторы настоящего изобретения в течение длительного времени проводили исследования, направленные на решение указанных проблем, и создали холодную регенерированную асфальтовую смесь, имеющую значительно улучшенную устойчивость при хранении и способность к длительному хранению, с использованием нелетучего модифицированного битумного вяжущего для холодных смесей, которое получают посредством смешивания оптимального количества нефтяного битума, природного битума, полимерного модификатора, технологического масла и усилителя адгезии.", создание холодной регенерированной асфальтовой смеси;смешивание оптимального количества нефтяного битума
"Описание изобретения Техническая проблема [21] Целью настоящего изобретения является решение таких проблем, как ухудшение физических свойств, в частности механических свойств, уменьшение устойчивости при хранении и способности к длительному хранению, загустевание в результате улетучивания летучих растворителей и невозможность использования в дождливую погоду или зимой, которые являются проблемами обычного вяжущего для холодного  асфальта и холодной асфальтовой смеси, а также целью настоящего изобретения является обеспечение нелетучего модифицированного битумного вяжущего для холодных смесей и холодной регенерированной асфальтовой смеси, которые обладают превосходными физическими свойствами, подходят для длительного хранения и имеют высокую устойчивость, а также могут использоваться в дождливую погоду или зимой.", ухудшение физических свойств; создание холодной регенерированной асфальтовой смеси; 
"Цель настоящего изобретения состоит в создании материалов, и способов создания материалов, для которых не требуется нагревание или другие специальные процессы отверждения для их получения."," создание материалов, и способов создания материалов;"
"[00439] Таким образом, было показано, что способы согласно настоящему изобретению позволяют эффективно использовать существующие растворители для экстракции редкоземельных элементов."," ""эффективное использование существующих растворителей для экстракции редкоземельных элементов;"""
"Техническим результатом является  возможность экстрагировать различные редкоземельные элементы, такие как скандий, иттрий, лантан, церий, празеодим, неодим, прометий, самарий, европий, гадолиний, тербий, диспрозий, гольмий, эрбий, тулий, иттербий, лютеций, и различные редкие металлы, такие как индий, цирконий, литий, галлий."," ""экстрагирование различных редкоземельных элементов;"""
"Затем, после завершения обработки с помощью таких колонок, редкоземельные элементы и/или редкие металлы можно экстрагировать, как указано в способах способы согласно настоящему изобретению.",экстрагирование редкоземельных элементов; обработка с помощью колонок;
"Фактически, как упомянуто выше, способ в соответствии с первым аспектом изобретения позволяет прогнозировать массу исходного сырья, выгружаемого конвейером в течение будущего первого временного интервала.", прогнозирование массы исходного сырья;
"[0069] Например, в альтернативном варианте осуществления системы 600, в которой реализовано второе из трех вышеуказанных технических решений, аналоговый сигнал 618, который подлежит передаче по пользовательской нисходящей линии связи, модулируется с помощью более плотной схемы модуляции.", осуществление системы 600; аналоговый сигнал 618;
"[0078] После описания трех разных технических решений для модуляции сигналов на фидерной линии связи, в каждом из которых используется первая архитектура системы, имеющая спутник, в котором используется коммутационная матрица 616 для обеспечения возможности гибкого назначения принимаемых несущих пользовательским узким лучам, будет представлено описание второй и третей архитектур системы.",модуляция сигналов на фидерной линии связи; первая архитектура системы в каждом сигнале;
[0047] Недостатком каждого из этих трех технических решений является ненадежный оптический канал от SAN к спутнику.," "" ненадежный оптический канал от SAN к спутнику;"""
Поэтому могут использоваться технические решения для смягчения эффектов замирания оптического сигнала вследствие атмосферных условий., смягчение эффектов замирания; атмосферные условия;
"Следует понимать, что раскрытые технические решения могут быть реализованы на практике с модификацией и изменением и что изобретение должно быть ограничено лишь пунктами формулы изобретения и их эквивалентами."," ""реализация технического решения; модификация и изменение и что изобретение должно быть ограничено лишь пунктами формулы изобретения и их эквивалентами;"""
"Технический результат – увеличение конверсии реакции фторирования с использованием этапа регенерации (72,4%).", увеличение конверсии реакции фторирования; использование этапа регенерации;
Технический результат состоит в повышении качества связи за счет повышения пропускной способности каналов связи., повышение качества связи; повышение пропускной способности каналов связи;
УРОВЕНЬ ТЕХНИКИ ИЗОБРЕТЕНИЯ [0002] Индивидуальные компоненты исходного газового потока могут быть разделены с использованием способов адсорбции переменного  давления (АПД) и адсорбции переменной  температуры (АПТ).," ""разделение идивидуальных компонентов исходного газового потока; способы адсорбции переменного  давления (АПД) и адсорбции переменной  температуры (АПТ);"""
"Деформирование может быть проведено при использовании способов, таких, как горячая прокатка или горячее штампование в прессе, роликовое профилирование или горячее ротационное выдавливание.", деформирование; горячая прокатка или горячее штампование в прессе;
"Еще одной целью настоящего изобретения является способ печати трехмерной структуры, включающий стадии i) обеспечения описанной многокомпонентной растворной системы, ii) смешивания компонентов с помощью статического или динамического смесителя и нанесения смешанного раствора с помощью роботизированной системы с формированием трехмерной структуры, и iii) отверждения нанесенной трехмерной структуры.", способ печати трехмерной структуры; стадии обеспечения описанной многокомпонентной растворной системы;
"Поэтому еще одной целью настоящего изобретения является способ получения раствора путем смешивания компонента А и компонента В и дополнительных компонентов, при наличии, многокомпонентной растворной системы, в частности, с помощью статического или динамического смесителя."," ""получение раствора; смешивание компонента А и компонента В;"""
"Другая задача изобретения состоит в предложении способа получения такой имеющей нанесенное погружением в расплав покрытие многофазной стали, являющейся при этом совместимой с обычными линиями непрерывного цинкования с отжигом.", получение нанесенного погружением в расплав покрытие многофазной стали;
"Данный способ позволяет экстрагировать достаточное количество масла из семян, чтобы провести анализ состава жирных кислот.", анализ состава жирных кислот; экстрагирование достаточного количества масла из семян;
